date,value
1/2/18,1.5
1/3/18,1.5
1/4/18,1.5
1/5/18,1.5
1/6/18,1.5
1/7/18,1.5
1/8/18,1.5
1/9/18,1.5
1/10/18,1.5
1/11/18,1.5
1/12/18,1.5
1/13/18,1.5
1/14/18,1.5
1/15/18,1.5
1/16/18,1.5
1/17/18,1.5
1/18/18,1.5
1/19/18,1.5
1/20/18,1.5
1/21/18,1.5
1/22/18,1.5
1/23/18,1.5
1/24/18,1.5
1/25/18,1.5
1/26/18,1.5
1/27/18,1.5
1/28/18,1.5
1/29/18,1.5
1/30/18,1.5
1/31/18,1.5
2/1/18,1.5
2/2/18,1.5
2/3/18,1.5
2/4/18,1.5
2/5/18,1.5
2/6/18,1.5
2/7/18,1.5
2/8/18,1.5
2/9/18,1.5
2/10/18,1.5
2/11/18,1.5
2/12/18,1.5
2/13/18,1.5
2/14/18,1.5
2/15/18,1.5
2/16/18,1.5
2/17/18,1.5
2/18/18,1.5
2/19/18,1.5
2/20/18,1.5
2/21/18,1.5
2/22/18,1.5
2/23/18,1.5
2/24/18,1.5
2/25/18,1.5
2/26/18,1.5
2/27/18,1.5
2/28/18,1.5
3/1/18,1.5
3/2/18,1.5
3/3/18,1.5
3/4/18,1.5
3/5/18,1.5
3/6/18,1.5
3/7/18,1.5
3/8/18,1.5
3/9/18,1.5
3/10/18,1.5
3/11/18,1.5
3/12/18,1.5
3/13/18,1.5
3/14/18,1.5
3/15/18,1.5
3/16/18,1.5
3/17/18,1.5
3/18/18,1.5
3/19/18,1.5
3/20/18,1.5
3/21/18,1.5
3/22/18,1.75
3/23/18,1.75
3/24/18,1.75
3/25/18,1.75
3/26/18,1.75
3/27/18,1.75
3/28/18,1.75
3/29/18,1.75
3/30/18,1.75
3/31/18,1.75
4/1/18,1.75
4/2/18,1.75
4/3/18,1.75
4/4/18,1.75
4/5/18,1.75
4/6/18,1.75
4/7/18,1.75
4/8/18,1.75
4/9/18,1.75
4/10/18,1.75
4/11/18,1.75
4/12/18,1.75
4/13/18,1.75
4/14/18,1.75
4/15/18,1.75
4/16/18,1.75
4/17/18,1.75
4/18/18,1.75
4/19/18,1.75
4/20/18,1.75
4/21/18,1.75
4/22/18,1.75
4/23/18,1.75
4/24/18,1.75
4/25/18,1.75
4/26/18,1.75
4/27/18,1.75
4/28/18,1.75
4/29/18,1.75
4/30/18,1.75
5/1/18,1.75
5/2/18,1.75
5/3/18,1.75
5/4/18,1.75
5/5/18,1.75
5/6/18,1.75
5/7/18,1.75
5/8/18,1.75
5/9/18,1.75
5/10/18,1.75
5/11/18,1.75
5/12/18,1.75
5/13/18,1.75
5/14/18,1.75
5/15/18,1.75
5/16/18,1.75
5/17/18,1.75
5/18/18,1.75
5/19/18,1.75
5/20/18,1.75
5/21/18,1.75
5/22/18,1.75
5/23/18,1.75
5/24/18,1.75
5/25/18,1.75
5/26/18,1.75
5/27/18,1.75
5/28/18,1.75
5/29/18,1.75
5/30/18,1.75
5/31/18,1.75
